Group,Video,X_coord,Engage,Extract,Maintain,Enjoy
Faculty,Whiteboard,1,3.33,3.35,.,.
Student,Whiteboard,1,3.2,3.44,3.22,3.23
Faculty,Powerpoint,2,2.66,3.14,.,.
Student,Powerpoint,2,2.95,3.35,2.94,2.98
Faculty,Newscaster,3,2.89,3.21,.,.
Student,Newscaster,3,3.08,3.42,3,3.15
Faculty,Diagram,4,3.16,3.34,.,.
Student,Diagram,4,3.11,3.45,3.17,3.16
Faculty,Animation,5,3.63,3.59,.,.
Student,Animation,5,3.41,3.55,3.47,3.59
Longform,Powerpoint,2,2.88,3.25,2.88,3.15
Longform,Animation,5,3.14,3.39,2.89,3.419
