Group,Extract,Maintain,Context,Retain,Engage,Enjoy,Video
Faculty,3,3,3,4,4,4,AN
Faculty,3,2,3,2,3,3,AN
Faculty,3,4,4,3,2,3,AN
Faculty,2,2,3,2,3,2,AN
Faculty,2,4,3,3,3,3,AN
Faculty,5,5,5,4,3,3,AN
Faculty,5,5,5,5,5,5,AN
Faculty,4,5,4,4,5,5,AN
Faculty,3,4,4,4,4,4,AN
Faculty,3,4,2,2,4,4,AN
Faculty,5,3,3,4,4,4,AN
Faculty,1,2,2,2,2,2,AN
Faculty,5,5,5,5,5,5,AN
Faculty,4,5,5,4,5,5,AN
Faculty,5,4,4,3,4,4,AN
Faculty,4,4,3,2,2,4,AN
Faculty,5,5,4,4,4,5,AN
Faculty,5,5,5,5,5,5,AN
Faculty,4,4,3,4,4,4,AN
Faculty,5,5,5,5,5,5,AN
Faculty,4,4,4,4,4,4,AN
Faculty,4,5,4,4,5,5,AN
Faculty,2,2,2,2,2,2,AN
Faculty,2,4,1,4,1,3,AN
Faculty,4,5,4,4,4,5,AN
Faculty,4,4,4,4,5,5,AN
Faculty,4,4,4,4,4,4,AN
Faculty,1,1,1,1,1,1,AN
Faculty,2,2,2,2,1,1,AN
Faculty,5,5,5,5,5,5,AN
Faculty,3,3,2,3,3,4,AN
Faculty,5,5,5,5,5,5,AN
Faculty,2,2,3,3,2,3,AN
Faculty,4,4,4,4,4,4,AN
Faculty,3,3,3,3,4,4,AN
Faculty,5,4,4,4,5,5,AN
Faculty,5,5,5,5,5,5,AN
Faculty,5,5,5,4,5,5,AN
Faculty,1,1,1,1,1,1,AN
Faculty,4,5,5,5,4,4,AN
Faculty,4,4,3,3,3,4,AN
Faculty,4,4,4,4,5,5,AN
Faculty,5,5,5,5,5,5,AN
Faculty,3,4,4,4,4,4,AN
Faculty,5,5,5,5,5,5,AN
Faculty,5,5,5,5,4,4,AN
Faculty,3,3,3,3,3,3,AN
Faculty,1,2,2,3,3,2,AN
Faculty,3,4,4,3,3,4,AN
Faculty,3,4,5,3,3,3,AN
Faculty,3,3,3,3,3,3,AN
Faculty,4,4,4,4,4,4,AN
Faculty,5,5,5,5,5,5,AN
Faculty,4,4,3,4,3,4,AN
Faculty,4,3,3,3,4,2,AN
Faculty,5,5,4,4,5,5,AN
Faculty,4,4,4,4,4,3,AN
Faculty,3,3,3,3,3,3,AN
Faculty,4,4,4,4,4,4,AN
Faculty,4,2,1,3,3,4,AN
Faculty,4,5,3,4,4,4,AN
Faculty,2,4,4,4,4,4,AN
Faculty,3,3,3,3,3,3,AN
Faculty,3,4,3,3,4,4,AN
Faculty,2,5,3,1,4,4,AN
Faculty,4,3,3,3,3,3,AN
Faculty,3,5,3,3,2,4,AN
Faculty,5,5,5,5,5,5,AN
Faculty,4,5,5,5,3,3,AN
Faculty,3,3,3,3,3,3,AN
Faculty,2,3,2,4,4,4,AN
Faculty,4,5,4,4,5,5,AN
Faculty,3,3,4,3,3,3,AN
Faculty,3,4,3,1,4,5,AN
Faculty,4,4,5,3,3,4,AN
Faculty,4,4,4,4,4,4,AN
Faculty,4,4,4,4,4,4,AN
Faculty,3,3,3,3,3,3,AN
Faculty,1,1,2,2,2,3,AN
Faculty,4,3,3,3,3,4,AN
Faculty,3,4,3,3,4,4,AN
Faculty,5,4,2,4,2,4,AN
Student,3,3,3,3,3,3,AN
Student,4,3,4,3,3,3,AN
Student,1,1,1,1,1,1,AN
Student,4,4,4,3,3,5,AN
Student,3,3,3,4,4,5,AN
Student,2,1,3,2,4,4,AN
Student,2,2,5,4,3,3,AN
Student,4,4,4,3,3,3,AN
Student,3,3,3,3,4,5,AN
Student,4,4,4,4,3,3,AN
Student,4,2,3,3,2,3,AN
Student,3,3,3,3,3,3,AN
Student,4,5,5,4,5,5,AN
Student,3,4,4,4,4,4,AN
Student,2,2,2,2,2,2,AN
Student,5,4,5,5,5,4,AN
Student,4,4,4,4,3,5,AN
Student,5,5,5,5,4,5,AN
Student,4,3,4,4,3,4,AN
Student,4,3,4,4,4,4,AN
Student,4,5,4,4,4,3,AN
Student,4,4,4,3,5,5,AN
Student,4,3,4,4,4,5,AN
Student,3,3,3,3,3,3,AN
Student,3,2,3,3,3,3,AN
Student,5,3,5,4,5,3,AN
Student,4,4,4,4,4,4,AN
Student,5,4,5,3,4,4,AN
Student,3,3,3,3,3,3,AN
Student,5,5,5,5,5,5,AN
Student,4,4,4,4,4,4,AN
Student,4,4,4,4,4,4,AN
Student,3,3,4,4,3,3,AN
Student,1,2,3,3,2,2,AN
Student,5,5,5,5,5,5,AN
Student,4,4,4,4,4,4,AN
Student,3,4,4,3,4,4,AN
Student,4,4,4,3,3,4,AN
Student,3,3,3,3,2,2,AN
Student,4,5,5,4,5,5,AN
Student,2,4,3,1,1,3,AN
Student,5,4,4,4,4,4,AN
Student,3,3,3,3,3,3,AN
Student,4,5,5,5,4,4,AN
Student,4,3,4,4,2,5,AN
Student,3,1,3,3,1,3,AN
Student,4,4,3,4,4,4,AN
Student,3,1,2,2,2,4,AN
Student,3,3,3,3,3,3,AN
Student,3,2,3,2,3,3,AN
Student,1,1,1,1,1,1,AN
Student,3,3,3,3,3,3,AN
Student,3,3,3,3,3,3,AN
Student,4,4,4,4,4,4,AN
Student,1,2,2,2,2,3,AN
Student,4,4,4,4,5,5,AN
Student,3,3,3,3,3,3,AN
Student,5,5,5,4,4,4,AN
Student,4,2,4,4,2,2,AN
Student,2,4,2,3,,4,AN
Student,3,3,3,3,3,4,AN
Student,2,3,2,2,2,5,AN
Student,5,5,5,5,4,4,AN
Student,4,4,4,4,4,4,AN
Student,3,4,4,2,3,3,AN
Student,5,5,5,5,5,5,AN
Student,4,4,5,3,4,4,AN
Student,3,3,3,4,4,4,AN
Student,4,4,4,3,4,3,AN
Student,3,3,3,3,3,3,AN
Student,3,4,3,3,4,3,AN
Student,3,3,3,4,4,3,AN
Student,3,3,3,3,3,3,AN
Student,4,4,3,3,1,1,AN
Student,3,3,3,2,3,3,AN
Student,3,3,1,1,1,1,AN
Student,4,4,4,4,4,4,AN
Student,4,4,3,4,3,3,AN
Student,4,4,4,3,4,4,AN
Student,4,4,5,4,3,3,AN
Student,4,4,3,,5,5,AN
Student,4,4,3,3,4,4,AN
Student,3,3,3,3,3,3,AN
Student,5,5,5,5,5,5,AN
Student,2,2,3,3,3,3,AN
Student,3,3,4,4,3,2,AN
Student,5,5,5,5,5,5,AN
Student,3,3,3,3,3,3,AN
Student,2,1,2,2,1,2,AN
Student,3,3,3,4,3,3,AN
Student,4,4,4,4,3,4,AN
Student,3,3,3,3,2,3,AN
Student,5,5,5,5,5,5,AN
Student,4,4,4,4,4,4,AN
Student,4,4,4,4,3,4,AN
Student,3,3,3,3,3,3,AN
Student,4,4,4,4,4,4,AN
Student,5,5,4,4,4,4,AN
Student,2,2,2,2,2,3,AN
Student,4,5,4,4,5,4,AN
Student,2,2,2,2,3,3,AN
Student,5,4,4,3,5,4,AN
Student,4,4,4,4,4,4,AN
Student,5,5,5,5,5,5,AN
Student,3,2,2,2,4,4,AN
Student,4,3,3,4,3,4,AN
Student,1,1,2,2,1,1,AN
Student,2,2,2,2,2,3,AN
Student,2,2,2,2,4,4,AN
Student,4,4,4,4,4,4,AN
Student,2,1,3,3,3,3,AN
Student,4,4,5,4,4,3,AN
Student,4,4,4,3,3,4,AN
Student,3,3,3,3,4,4,AN
Student,5,4,5,4,5,5,AN
Student,3,3,3,4,2,2,AN
Student,4,2,3,3,2,3,AN
Student,4,4,4,3,4,5,AN
Student,4,1,3,3,4,3,AN
Student,4,4,4,4,4,4,AN
Student,2,3,2,3,2,2,AN
Student,2,1,2,1,1,1,AN
Student,3,3,2,2,3,2,AN
Student,4,4,4,4,3,4,AN
Student,3,4,4,3,4,4,AN
Student,4,4,4,4,4,4,AN
Student,4,5,5,4,5,5,AN
Student,3,3,4,3,4,3,AN
Student,5,4,3,4,1,3,AN
Student,3,3,4,4,4,4,AN
Student,5,4,4,4,1,1,AN
Student,4,2,3,3,4,3,AN
Student,3,1,3,3,1,1,AN
Student,5,5,5,5,4,4,AN
Student,5,5,5,5,5,5,AN
Student,4,3,4,4,4,3,AN
Student,4,4,4,4,4,4,AN
Student,5,5,4,4,5,5,AN
Student,3,3,3,3,3,3,AN
Student,4,4,4,4,4,4,AN
Student,3,3,3,3,3,3,AN
Student,4,4,4,4,4,4,AN
Student,5,5,5,5,5,5,AN
Student,1,2,2,2,3,1,AN
Student,3,1,3,3,3,3,AN
Student,3,3,4,3,3,4,AN
Student,2,1,2,2,2,2,AN
Student,5,5,5,5,5,5,AN
Student,4,3,3,4,3,4,AN
Student,4,4,4,4,4,4,AN
Student,4,4,5,3,4,3,AN
Student,5,5,5,5,5,5,AN
Student,3,2,3,3,2,2,AN
Student,4,4,4,4,4,4,AN
Student,5,5,5,5,5,5,AN
Student,5,4,5,4,5,5,AN
Student,4,4,4,4,4,4,AN
Student,4,5,4,4,4,4,AN
Student,2,4,3,4,3,4,AN
Student,2,4,3,3,2,4,AN
Student,4,4,4,4,4,3,AN
Student,5,5,5,4,4,4,AN
Student,2,5,2,1,5,5,AN
Student,4,4,4,4,4,4,AN
Student,3,3,3,3,3,3,AN
Student,2,2,1,1,2,2,AN
Student,5,5,5,5,5,5,AN
Student,5,5,5,5,5,5,AN
Student,1,2,1,2,1,2,AN
Student,3,3,3,3,3,3,AN
Student,5,4,5,5,2,5,AN
Student,2,1,3,3,1,1,AN
Student,4,3,3,4,2,4,AN
Student,3,1,2,3,2,2,AN
Student,3,4,3,4,5,4,AN
Student,4,3,4,3,4,5,AN
Student,5,5,4,5,5,5,AN
Student,3,4,4,4,3,3,AN
Student,2,1,2,2,2,2,AN
Student,4,4,3,4,5,5,AN
Student,2,2,2,2,2,2,AN
Student,3,3,2,2,1,2,AN
Student,2,2,2,2,2,2,AN
Student,5,5,5,5,5,5,AN
Student,5,5,5,5,4,5,AN
Student,3,3,4,4,4,4,AN
Student,5,5,5,5,5,5,AN
Student,5,4,5,4,5,5,AN
Student,4,4,4,4,4,4,AN
Student,5,5,5,5,3,4,AN
Student,3,4,4,4,4,4,AN
Student,5,4,4,5,3,3,AN
Student,4,4,4,4,4,4,AN
Student,2,4,2,2,4,4,AN
Student,3,5,3,3,5,4,AN
Student,4,3,3,3,3,2,AN
Student,3,2,4,4,4,4,AN
Student,1,2,2,2,2,4,AN
Student,4,3,3,3,3,3,AN
Student,5,5,5,4,5,5,AN
Student,3,3,3,3,3,3,AN
Student,2,4,3,4,2,4,AN
Student,3,3,3,3,2,4,AN
Student,5,5,4,4,5,5,AN
Student,4,4,3,4,4,5,AN
Student,2,3,3,2,2,2,AN
Student,5,5,5,5,5,5,AN
Student,5,5,5,5,5,5,AN
Student,5,4,4,4,3,1,AN
Student,4,5,4,3,4,5,AN
Student,2,1,2,2,2,2,AN
Student,5,3,4,4,4,4,AN
Student,5,5,5,5,5,5,AN
Student,3,2,3,3,2,3,AN
Student,4,5,4,4,4,5,AN
Student,1,1,1,1,1,1,AN
Student,3,3,,4,3,3,AN
Student,5,5,5,5,5,4,AN
Student,2,1,1,1,2,2,AN
Student,2,5,4,3,4,3,AN
Student,2,2,3,2,2,3,AN
Student,3,4,4,3,3,4,AN
Student,4,3,4,4,2,1,AN
Student,4,5,4,4,5,5,AN
Student,3,3,3,3,3,4,AN
Student,3,3,4,4,2,4,AN
Student,5,5,5,5,5,5,AN
Student,4,4,4,4,4,4,AN
Student,4,4,3,4,3,4,AN
Student,5,4,5,5,4,4,AN
Student,4,3,3,4,4,3,AN
Student,4,4,4,4,5,5,AN
Student,2,2,2,2,3,2,AN
Student,2,1,2,1,2,2,AN
Student,3,1,3,2,1,1,AN
Student,1,1,2,2,3,2,AN
Student,1,1,1,1,1,1,AN
Student,2,1,3,3,3,2,AN
Student,4,5,5,5,5,5,AN
Student,5,4,5,4,4,4,AN
Student,4,5,4,4,4,4,AN
Student,5,5,5,4,5,5,AN
Student,3,4,4,3,5,5,AN
Student,4,4,3,3,3,4,AN
Student,3,3,4,3,4,4,AN
Student,4,2,4,3,5,5,AN
Student,4,4,4,4,4,4,AN
Student,5,5,5,5,5,5,AN
Student,5,5,5,5,4,4,AN
Student,5,4,5,4,4,4,AN
Student,2,2,2,2,2,2,AN
Student,3,4,4,3,3,3,AN
Student,3,4,4,4,3,4,AN
Student,4,4,4,4,4,5,AN
Student,3,4,4,3,3,4,AN
Student,4,4,4,4,4,4,AN
Student,4,4,4,4,4,4,AN
Student,4,4,4,3,3,3,AN
Student,4,4,4,4,4,4,AN
Student,5,5,4,4,5,4,AN
Student,4,4,4,4,4,4,AN
Student,4,4,4,3,3,4,AN
Student,2,2,3,3,2,3,AN
Student,1,1,1,1,1,1,AN
Student,4,4,4,4,4,4,AN
Student,1,1,3,2,2,3,AN
Student,3,3,4,4,3,3,AN
Student,2,1,1,1,1,1,AN
Student,3,3,4,4,3,4,AN
Student,4,3,4,4,3,3,AN
Student,3,3,4,3,3,5,AN
Student,4,3,3,3,2,2,AN
Student,2,3,2,3,2,3,AN
Student,4,4,4,4,4,4,AN
Student,4,4,4,4,4,4,AN
Student,3,3,3,3,3,4,AN
Student,2,3,2,2,2,2,AN
Student,4,2,3,3,3,3,AN
Student,5,5,4,4,5,5,AN
Student,3,3,3,4,3,3,AN
Student,5,5,4,4,3,4,AN
Student,4,5,3,3,3,4,AN
Student,4,4,4,4,4,4,AN
Student,2,5,4,4,3,5,AN
Student,4,3,4,4,3,4,AN
Student,4,4,4,3,4,4,AN
Student,4,4,4,4,4,4,AN
Student,3,4,3,4,3,3,AN
Student,4,4,4,4,4,4,AN
Student,5,4,3,3,4,4,AN
Student,4,4,4,4,4,,AN
Student,5,4,5,5,2,4,AN
Student,5,5,5,5,5,5,AN
Student,3,4,5,5,4,5,AN
Student,4,3,3,4,4,3,AN
Student,5,5,5,5,4,5,AN
Student,3,2,4,3,4,4,AN
Student,5,5,4,4,5,5,AN
Student,4,5,5,5,4,4,AN
Student,5,3,5,4,3,3,AN
Student,3,4,4,4,4,3,AN
Student,3,4,5,4,4,2,AN
Student,2,2,1,1,1,1,AN
Student,5,4,4,4,3,4,AN
Student,4,4,4,4,3,4,AN
Student,5,5,5,5,5,5,AN
Student,4,3,5,4,3,5,AN
Faculty,3,3,3,4,4,4,PP
Faculty,3,2,3,2,3,3,PP
Faculty,2,1,1,1,1,1,PP
Faculty,2,1,3,2,2,2,PP
Faculty,1,1,1,3,3,2,PP
Faculty,5,5,5,5,4,3,PP
Faculty,5,4,4,4,4,4,PP
Faculty,5,5,4,4,4,5,PP
Faculty,.,.,.,.,.,.,PP
Faculty,4,2,2,2,1,1,PP
Faculty,3,1,3,1,1,1,PP
Faculty,4,3,4,4,3,3,PP
Faculty,2,1,2,1,1,1,PP
