Group,Extract,Maintain,Context,Retain,Engage,Enjoy,Video
Longform,1,1,3,2,4,3,PP
Longform,1,1,2,1,1,1,PP
Longform,2,1,2,1,2,2,PP
Longform,2,1,3,2,2,3,PP
Longform,3,1,2,2,1,3,PP
Longform,3,1,5,2,3,4,PP
Longform,1,2,2,2,1,1,PP
Longform,2,2,3,1,1,3,PP
Longform,2,2,2,2,2,1,PP
Longform,2,2,2,3,3,3,PP
Longform,2,2,4,2,1,3,PP
Longform,3,2,3,3,.,2,PP
Longform,3,2,3,2,2,3,PP
Longform,3,2,2,2,1,3,PP
Longform,3,2,3,2,2,2,PP
Longform,3,2,3,3,2,2,PP
Longform,3,2,3,3,2,3,PP
Longform,3,2,4,3,2,3,PP
Longform,3,2,3,2,2,3,PP
Longform,3,2,2,2,2,3,PP
Longform,3,2,3,2,3,3,PP
Longform,3,2,3,3,3,3,PP
Longform,3,2,2,1,2,1,PP
Longform,4,2,5,4,4,4,PP
Longform,4,2,4,3,5,3,PP
Longform,.,2,3,2,3,2,PP
Longform,2,3,3,3,2,3,PP
Longform,3,3,3,3,3,.,PP
Longform,3,3,2,3,4,3,PP
Longform,3,3,2,3,3,3,PP
Longform,3,3,3,4,3,3,PP
Longform,3,3,3,3,3,4,PP
Longform,3,3,2,3,2,3,PP
Longform,3,3,3,3,3,3,PP
Longform,3,3,2,4,3,3,PP
Longform,3,3,3,3,3,3,PP
Longform,4,3,5,4,3,3,PP
Longform,4,3,4,4,3,3,PP
Longform,4,3,4,3,4,4,PP
Longform,4,3,4,2,3,4,PP
Longform,2,4,3,3,2,2,PP
Longform,2,4,3,4,3,3,PP
Longform,3,4,3,3,3,4,PP
Longform,3,4,3,3,4,3,PP
Longform,3,4,3,3,4,4,PP
Longform,4,4,4,4,3,3,PP
Longform,4,4,4,4,4,4,PP
Longform,4,4,4,3,2,3,PP
Longform,4,4,5,4,4,4,PP
Longform,4,4,3,3,2,3,PP
Longform,4,4,3,3,4,4,PP
Longform,5,4,3,3,4,4,PP
Longform,5,4,4,4,3,4,PP
Longform,5,4,4,3,4,4,PP
Longform,5,4,5,4,4,4,PP
Longform,4,5,5,5,5,5,PP
Longform,5,5,5,4,4,5,PP
Longform,5,5,5,5,4,3,PP
Longform,5,5,5,5,5,5,PP
Longform,5,5,4,4,5,4,PP
Longform,4,.,2,3,2,5,PP
Longform,4,2,3,4,4,4,AN
Longform,4,5,5,4,5,5,AN
Longform,3,2,3,2,3,2,AN
Longform,2,2,2,2,2,2,AN
Longform,4,3,3,4,4,4,AN
Longform,5,3,4,3,3,4,AN
Longform,2,2,3,3,2,3,AN
Longform,4,3,3,4,3,3,AN
Longform,4,3,4,4,5,4,AN
Longform,3,3,3,3,3,3,AN
Longform,2,1,3,2,1,1,AN
Longform,5,4,4,4,4,4,AN
Longform,4,2,2,3,3,3,AN
Longform,4,4,2,2,3,.,AN
Longform,3,2,4,3,3,3,AN
Longform,4,3,3,5,3,3,AN
Longform,2,3,4,4,2,3,AN
Longform,2,1,1,2,1,1,AN
Longform,5,5,5,5,5,5,AN
Longform,5,4,4,5,3,4,AN
Longform,2,3,2,2,3,.,AN
Longform,3,4,3,4,4,3,AN
Longform,2,3,3,4,3,4,AN
Longform,3,1,3,1,2,2,AN
Longform,4,4,4,4,4,4,AN
Longform,5,1,5,1,2,4,AN
Longform,3,4,4,3,3,4,AN
Longform,2,2,2,2,2,2,AN
Longform,3,1,3,3,3,3,AN
Longform,4,3,3,3,3,3,AN
Longform,4,5,5,4,2,4,AN
Longform,3,2,4,3,2,3,AN
Longform,3,1,3,3,3,3,AN
Longform,2,1,3,2,2,3,AN
Longform,5,5,5,5,5,5,AN
Longform,4,2,4,4,3,4,AN
Longform,4,4,5,3,5,5,AN
Longform,4,5,4,3,3,3,AN
Longform,4,5,4,4,4,5,AN
Longform,5,4,2,1,2,4,AN
Longform,4,4,4,4,4,5,AN
Longform,4,4,5,4,3,3,AN
Longform,3,3,4,5,5,5,AN
Longform,2,3,4,2,4,5,AN
Longform,3,4,3,4,3,4,AN
Longform,3,4,3,4,4,4,AN
Longform,4,4,3,3,2,3,AN
Longform,4,1,3,4,2,3,AN
Longform,4,4,4,4,4,4,AN
Longform,3,3,3,3,3,3,AN
Longform,1,2,2,4,4,2,AN
Longform,3,2,3,3,3,4,AN
Longform,3,2,3,2,3,2,AN
Longform,3,3,2,3,3,3,AN
Longform,4,3,2,4,5,3,AN
Longform,3,3,4,3,4,3,AN
Longform,2,2,3,2,2,3,AN
Longform,3,3,3,3,3,3,AN
Longform,3,2,3,3,3,4,AN
Longform,3,3,3,3,3,3,AN
Longform,3,2,3,2,4,4,AN
Longform,5,3,5,5,4,4,AN
Longform,4,2,3,2,1,3,AN
Longform,3,2,3,3,3,3,AN
