Group,Ability to extract key information,Ability to maintain focus/attention,Ability to understand the context for the information presented,Ability to retain that information,Engagement with the material,Enjoyment of the material
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,Slightly impaired,About the Same,Slightly impaired,About the Same,About the Same
Faculty,About the Same,Slightly impaired,About the Same,About the Same,About the Same,Slightly impaired
Faculty,About the Same,About the Same,Slightly improved,About the Same,About the Same,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,.,Slightly improved,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Slightly improved,Strongly improved,Slightly improved,Slightly improved,Strongly improved,Strongly improved
Faculty,Slightly impaired,Slightly impaired,Slightly impaired,About the Same,Slightly impaired,Slightly impaired
Faculty,About the Same,Slightly impaired,About the Same,About the Same,Slightly impaired,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,Slightly impaired
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Strongly improved,About the Same,About the Same,Slightly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,Slightly improved,Slightly impaired,About the Same
Faculty,About the Same,About the Same,Slightly improved,Slightly improved,Slightly improved,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,Slightly impaired,Slightly impaired,About the Same,About the Same,About the Same
Faculty,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Faculty,About the Same,Slightly impaired,Slightly impaired,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Slightly improved,About the Same,Slightly improved,Slightly improved,About the Same,About the Same
Faculty,About the Same,Slightly impaired,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly impaired,Slightly improved,About the Same,Slightly improved
Faculty,About the Same,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,Slightly impaired,About the Same,About the Same,Slightly impaired,Strongly impaired
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,About the Same,About the Same
Faculty,About the Same,Slightly improved,About the Same,About the Same,Slightly improved,Slightly improved
Faculty,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,About the Same,Slightly impaired,About the Same,About the Same,Slightly impaired,About the Same
Faculty,About the Same,Slightly improved,About the Same,About the Same,Slightly improved,Slightly improved
Faculty,About the Same,Slightly improved,About the Same,About the Same,Slightly improved,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,About the Same,About the Same
Faculty,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Strongly impaired,Slightly impaired
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,About the Same,Slightly improved,Slightly improved,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,About the Same,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Slightly improved,Slightly improved,Slightly improved,Strongly improved,Slightly improved,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Slightly impaired,Strongly impaired,About the Same,About the Same,Slightly impaired,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,About the Same,Slightly improved,Slightly improved,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Strongly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Strongly improved,Strongly improved,Strongly improved,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Strongly improved,Strongly improved,Slightly improved,Slightly improved,Strongly improved
Faculty,About the Same,Slightly improved,About the Same,About the Same,Slightly impaired,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly impaired,Slightly impaired,Slightly impaired,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,Slightly improved,About the Same,About the Same,Slightly improved,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Strongly improved,Strongly improved,Slightly impaired,Slightly improved,Slightly impaired
Faculty,Slightly impaired,Slightly impaired,Slightly impaired,Strongly impaired,Strongly impaired,Strongly impaired
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly improved,Slightly improved,About the Same,About the Same,Slightly improved,About the Same
Faculty,Strongly impaired,Strongly impaired,Slightly impaired,Slightly impaired,Strongly impaired,About the Same
Faculty,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,Slightly impaired,About the Same,About the Same,About the Same,About the Same,About the Same
Faculty,About the Same,About the Same,Slightly impaired,About the Same,About the Same,About the Same
Student,Slightly improved,About the Same,Slightly improved,About the Same,About the Same,About the Same
Student,Slightly improved,About the Same,Slightly improved,About the Same,About the Same,About the Same
Student,Strongly impaired,Strongly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired
Student,Slightly improved,Strongly improved,Slightly improved,Strongly improved,Strongly improved,Strongly improved
Student,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Strongly impaired,Strongly impaired
Student,Strongly improved,Slightly improved,About the Same,Strongly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,About the Same,About the Same,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,About the Same,Slightly improved,About the Same,About the Same,About the Same
Student,Slightly impaired,About the Same,About the Same,About the Same,Slightly improved,Slightly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Slightly improved,Slightly improved,Strongly improved,Strongly improved,Slightly improved,Strongly improved
Student,Slightly improved,Slightly improved,Slightly improved,About the Same,About the Same,Slightly improved
Student,Slightly improved,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly impaired,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Strongly improved,Slightly improved,Slightly improved,Slightly improved,About the Same,Slightly improved
Student,About the Same,Strongly impaired,About the Same,About the Same,Strongly impaired,Strongly impaired
Student,Slightly improved,Strongly impaired,Slightly improved,About the Same,About the Same,About the Same
Student,Strongly improved,Slightly improved,About the Same,Slightly improved,Strongly improved,Strongly improved
Student,Slightly impaired,About the Same,Slightly impaired,About the Same,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Strongly improved,Slightly improved,Strongly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Strongly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,Slightly impaired,About the Same,About the Same,About the Same,About the Same
Student,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved,Strongly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Strongly improved,Slightly improved,Strongly improved,Strongly improved,Strongly improved,Slightly improved
Student,About the Same,Slightly impaired,About the Same,Slightly impaired,Slightly impaired,Slightly impaired
Student,About the Same,Slightly impaired,Slightly improved,Slightly improved,Strongly impaired,About the Same
Student,About the Same,Slightly impaired,About the Same,About the Same,About the Same,About the Same
Student,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired,Strongly impaired
Student,Slightly improved,Strongly improved,Slightly improved,Strongly improved,Slightly improved,Strongly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly impaired,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Slightly improved,About the Same,About the Same,Slightly improved,Slightly improved,Slightly improved
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,Strongly impaired,About the Same,About the Same,Strongly impaired,About the Same
Student,Slightly improved,About the Same,About the Same,Slightly improved,Slightly improved,Slightly improved
Student,Strongly improved,Slightly improved,About the Same,Slightly improved,About the Same,Slightly improved
Student,About the Same,Slightly impaired,About the Same,Slightly impaired,Slightly impaired,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,Slightly impaired,About the Same,About the Same,About the Same,About the Same
Student,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Strongly impaired,Slightly impaired,Slightly impaired,Slightly impaired,Slightly impaired,About the Same
Student,About the Same,About the Same,About the Same,About the Same,Slightly improved,About the Same
Student,About the Same,About the Same,About the Same,About the Same,About the Same,About the Same
Student,Slightly improved,Slightly improved,Slightly improved,.,Strongly improved,Slightly improved
Student,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved,Slightly improved
Student,Slightly impaired,About the Same,About the Same,Slightly impaired,About the Same,About the Same
